source_id ra dec pmra pmdec radial_velocity phot_g_mean_mag phot_g_mean_flux_over_error phot_bp_mean_mag phot_bp_mean_flux_over_error phot_rp_mean_mag phot_rp_mean_flux_over_error parallax parallax_error teff_gspphot ruwe number_of_neighbours number_of_mates g_mean_psf_mag g_mean_psf_mag_error r_mean_psf_mag r_mean_psf_mag_error i_mean_psf_mag i_mean_psf_mag_error z_mean_psf_mag z_mean_psf_mag_error y_mean_psf_mag y_mean_psf_mag_error j_m j_msigcom h_m h_msigcom ks_m ks_msigcom phot_g_mean_mag_error phot_bp_mean_mag_error phot_rp_mean_mag_error coord.ra coord.dec rCenter id distance distance_error PRV PPa PPMra PPMdec PPM membership
5538494644715617792 117.96050442399502 -38.55365986950758 -2.676049254731025 0.696961528797488  19.887781 275.47473 21.050955 10.266503 18.81982 48.97908 0.6766625650762285 0.34437007  1.1048591                   0.0048089347962236 0.1057920094240576 0.0224872173442249 117.96050442399502 -38.55365986950758 0.0688412378284023 5538494644715617792 1477.8414701976994 2903.853  0.28707138312521935 1.8154493330251273 1.0390688957883305 2.8545182288134576 0.534416547903372
5538490109223958272 117.99810288997276 -38.66218044531783 -2.447971793120275 0.5020771763275795  19.575697 330.68655 20.979416 9.873308 18.580553 26.657743 0.7510821677096438 0.268813  0.99134505                   0.0042862232944382 0.1100022015559164 0.0409037124385983 117.99810288997276 -38.66218044531783 0.1328955675059226 5538490109223958272 1331.412251537549 3720.0579  2.8735044713686975 0.014350520582956475 3.6846157834503335 3.69896630403329 0.1602810291919718
5538154174064750976 118.82882507025911 -38.13891725980896 -1.887648644355921 1.2838974950357758  20.409624 171.93292 21.125359 4.0894923 19.507727 2.8427718 0.7523145886416965 0.74652535  0.9655768                   0.0068898135353174 0.2655087907463751 0.3819474267250501 118.82882507025911 -38.13891725980896 0.7310343285198768 5538154174064750976 1329.231168845867 1339.5392  2.9872678965271073 8.38716915286102 2.862057693524729 11.24922684638575 0.006577285994760177
5538869406380945664 118.036562824786 -38.53547538349024 -2.0780926471016903 0.9869918074520896  16.22052 986.32446 16.508469 44.985443 15.372642 62.813618 0.7211745396084757 0.05961977  1.8109106                   0.0029670740216871 0.024296022804539 0.0176934028748391 118.036562824786 -38.53547538349024 0.0066982310433822 5538869406380945664 1386.6268775141425 16772.96  0.7291715365917392 3.5007342559712167 0.10261012482321669 3.603344380794433 0.36287112955128803
5537697838078542720 117.8784365888622 -39.24985331097077 -2.888873309622239 0.7267851098328388  19.689096 330.43558 20.764675 9.525926 18.728727 33.625553 0.6904523111647578 0.31227562  1.0043501                   0.0042881338305884 0.1140111234810842 0.0325094544708517 117.8784365888622 -39.24985331097077 0.7270632370108207 5537697838078542720 1448.325950727938 3202.299  0.007414039488768283 6.214447747243544 0.7772001126920076 6.991647859935552 0.1359378080256531
5538873117228198144 118.10591666035344 -38.36004389666681 -2.3865214826278613 0.7596320500520375  16.567009 1549.987 17.133835 174.83578 15.799539 241.33678 0.7012688497332428 0.038682345 5437.783 0.9804328                   0.0028429672494673 0.006808052105418 0.005875654239893 118.10591666035344 -38.36004389666681 0.1808033901758584 5538873117228198144 1425.9866246453014 25851.586  0.06464175808341013 0.04450131456633877 0.5327052876784089 0.5772066022447476 0.9583017686145724
5538768693683270016 117.27772672819177 -38.018425579712975 -1.9176739882835527 1.005029911975151  20.549072 140.26616 21.387787 6.8318753 19.810265 15.383372 0.6415397177999462 0.6618612  0.9701551                   0.0082163125507755 0.1589466252473491 0.07067967389843 117.27772672819177 -38.018425579712975 0.7931546949289355 5538768693683270016 1558.7499452556633 1510.8907  3.1275100098671977 7.477239213357229 0.16293150424456682 7.640170717601795 0.029302849662566036
5538108058996720256 118.64113638264114 -38.51092202402645 -2.029469336085625 0.9797587124550636  19.660683 302.1652 20.62318 13.8098545 18.859152 40.935093 0.6757136669663294 0.30074388  1.0259943                   0.0045280002402632 0.0786698889508084 0.0267912737746489 118.64113638264114 -38.51092202402645 0.4669676186296542 5538108058996720256 1479.916788555691 3325.0884  0.32195305933133855 4.548548092326431 0.08232185147403143 4.630869943800462 0.2921724942136209
5538893075935644928 118.13674948332913 -38.143793131158255 -2.386411178426157 1.1970349071658226  19.520887 369.66415 20.445122 22.2187 18.612682 54.185673 0.6780685818370498 0.25227636  0.9635737                   0.0040271920962543 0.048945466051558 0.0203906429307944 118.13674948332913 -38.143793131158255 0.3972209138400485 5538893075935644928 1474.7770753376612 3963.9067  0.23922139411012194 0.04475215122585457 1.6654825411422889 1.7102346923681435 0.7450549134476534
5538869921776951936 118.05777924223388 -38.47301530427863 -2.340289107335045 0.9282032902843412  16.210278 2244.5557 16.726633 228.90863 15.523925 337.914 0.6830631563624939 0.0350141 4933.204 0.9863223                   0.0027974585484696 0.005502911318534 0.0049605894755464 118.05777924223388 -38.47301530427863 0.0622347914236492 5538869921776951936 1463.993469250025 28559.922  0.10550043930691104 0.2114087906816838 0.00237937183742867 0.21378816251911248 0.9885352469896617
