source_id ra dec pmra pmdec radial_velocity phot_g_mean_mag phot_g_mean_flux_over_error phot_bp_mean_mag phot_bp_mean_flux_over_error phot_rp_mean_mag phot_rp_mean_flux_over_error parallax parallax_error teff_gspphot ruwe number_of_neighbours number_of_mates g_mean_psf_mag g_mean_psf_mag_error r_mean_psf_mag r_mean_psf_mag_error i_mean_psf_mag i_mean_psf_mag_error z_mean_psf_mag z_mean_psf_mag_error y_mean_psf_mag y_mean_psf_mag_error j_m j_msigcom h_m h_msigcom ks_m ks_msigcom phot_g_mean_mag_error phot_bp_mean_mag_error phot_rp_mean_mag_error coord.ra coord.dec rCenter id distance distance_error PRV PPa PPMra PPMdec PPM membership
5329782422652376832 131.35115360545203 -46.65726301704992 -2.5382686951840654 4.984135312352032  18.416157 689.7022 19.07693 31.682335 17.662954 94.36168 0.5166461704534063 0.12330784 4206.657 1.0431627                   0.0031733148185408 0.0343828486327638 0.0121109197992186 131.35115360545203 -46.65726301704992 0.7166079805183544 5329782422652376832 1935.5606548334704 8109.7847  3.4067588464616096 3.4711771453276783 4.907273448452154 8.378450593779831 0.019022064902132565
5329816679306973824 130.545018620968 -46.744642202727455 -3.003944024146028 5.228007534552491  19.439602 382.47522 20.418118 13.394863 18.507736 61.63675 0.6832394233715526 0.23851849  1.0297371                   0.0039560161121063 0.0811041710155978 0.0180159577406415 130.545018620968 -46.744642202727455 0.4631059194156126 5329816679306973824 1463.6157777098724 4192.547  7.903454809130385 5.686689685288476 0.08769841320056973 5.774388098489045 0.008397508715767455
5329772217810150912 131.5064587092874 -46.63970266855595 -2.9496624738127406 5.239910301721956  18.718184 609.386 19.410404 34.886635 17.962725 96.74881 0.327204964787846 0.14620113 4222.886 1.0449393                   0.0032811894931661 0.0312466616166124 0.0118415326972064 131.5064587092874 -46.63970266855595 0.8021515302115162 5329772217810150912 3056.1883455783823 6839.8926  0.19979877542955846 3.570337902126089 0.17532047914086807 3.745658381266957 0.4134377441882763
5329791905941076224 131.51236712127854 -46.46854745330187 -2.4497607041611977 5.199102225986434  19.088593 487.73047 19.962927 40.090523 18.313698 72.93503 0.4955956080569687 0.18567358  1.0588133                   0.0035422175558559 0.0272254674567111 0.0153586158784025 131.51236712127854 -46.46854745330187 0.9329192352581795 5329791905941076224 2017.7741362975316 5385.796  2.814131887649717 7.131356132170869 2.326484598420486e-06 7.131358458655468 0.041355968644714476
5329362237424899584 130.62835750330086 -47.34422421784093 -3.0262659394994067 5.268306792201368  19.180145 412.39902 20.127434 24.176657 18.210968 69.72393 0.6730892100381368 0.21222876  0.9483237                   0.0038109144122314 0.0449950444320942 0.0160240054113776 130.62835750330086 -47.34422421784093 0.1462401549374642 5329362237424899584 1485.6871646231566 4711.897  7.65159577552657 6.699264267696922 0.5057166551099593 7.2049809228068815 0.005008120216539389
5329422199467416704 130.4089278229293 -47.07936661486918 -3.001856693804676 4.926931990021323  19.06863 331.01974     0.3477356547099359 0.31351742  1.0062566                   0.0042836923089994   130.4089278229293 -47.07936661486918 0.2128242770550211 5329422199467416704 2875.747673427825 3189.6152  0.006055799533956658 5.596242874301744 7.864164151675469 13.460407025977213 0.009207797475390807
5329377325638598400 129.8178716591309 -47.66716423577324 -2.801148878638955 5.080448355455273  18.62978 619.8401 19.171627 38.88786 17.822994 99.965515 0.3754833341212594 0.12966727 4297.165 0.985295                   0.0032649700370462 0.0280587424612606 0.0114998861996535 129.8178716591309 -47.66716423577324 0.7398833188606146 5329377325638598400 2663.234048297488 7712.0464  0.12742732652954922 0.2860383353262768 1.4967392703378142 1.782777605664091 0.7522700866707087
5329401686701870720 129.73197086457594 -47.270467143776926 -2.458859383484308 5.408989387716861  20.477571 138.68059 21.686474 6.480929 19.327993 30.534203 0.3840356868809914 0.64101464  1.2140876                   0.0082997406375836 0.1675511020668035 0.035758320552377 129.73197086457594 -47.270467143776926 0.638336998563528 5329401686701870720 2603.924672005519 1560.0267  0.22878300097551837 6.694968730871193 4.665061016588308 11.360029747459501 0.020685822999959115
5521604118884619136 130.06719028928046 -46.53056475110478 -2.424058501891695 5.142476849082135  19.819036 280.91183 20.648594 13.234281 19.006226 25.809782 0.6106254064312071 0.33942518  1.0927022                   0.0047466139104057 0.082087117700512 0.0422362819898002 130.06719028928046 -46.53056475110478 0.7850850339133959 5521604118884619136 1637.6652354583275 2946.1575  6.028079872671273 8.438500543565183 0.34181409983276345 8.780314643397947 0.005115572278638937
5329311251851538176 130.07445384588308 -47.97862471003205 -2.7966755942531902 5.346759871150479  19.22668 434.32492 19.99662 25.631132 18.394733 57.36553 0.5044103962688686 0.1936636  1.0029438                   0.0037203378071009 0.0424518484224071 0.0193002876254376 130.07445384588308 -47.97862471003205 0.8747548372522348 5329311251851538176 1982.512667060424 5163.5933  3.061380294198772 0.2440569509887466 2.3074851105532947 2.551542061542041 0.22998038758537553
5329559977709362816 131.89214729023703 -47.08397010803809 -2.8025700189026166 4.92744506170398  19.175558 436.70456 19.857603 25.249004 18.435314 57.82067 0.5800952913258328 0.20099114  1.0300014                   0.0037111985908726 0.0430915755616394 0.0191542107288796 131.89214729023703 -47.08397010803809 0.8417918991488971 5329559977709362816 1723.854709653748 4975.3438  5.193280077944314 0.30007262049659444 7.834558516379569 8.134631136876163 0.009779886903016857
