source_id ra dec pmra pmdec radial_velocity phot_g_mean_mag phot_g_mean_flux_over_error phot_bp_mean_mag phot_bp_mean_flux_over_error phot_rp_mean_mag phot_rp_mean_flux_over_error parallax parallax_error teff_gspphot ruwe number_of_neighbours number_of_mates g_mean_psf_mag g_mean_psf_mag_error r_mean_psf_mag r_mean_psf_mag_error i_mean_psf_mag i_mean_psf_mag_error z_mean_psf_mag z_mean_psf_mag_error y_mean_psf_mag y_mean_psf_mag_error j_m j_msigcom h_m h_msigcom ks_m ks_msigcom phot_g_mean_mag_error phot_bp_mean_mag_error phot_rp_mean_mag_error coord.ra coord.dec rCenter id distance distance_error PRV PPa PPMra PPMdec PPM membership
5935916902193313792 254.76257964441027 -52.958038013725336 -4.593923412450705 -5.22518754416094  14.96509 4420.8916 15.413463 881.515 14.354022 1315.669 0.6360657697974996 0.028377587 5282.5737 0.9476548             13.643 0.024 13.278 0.03 13.198 0.025 0.002766243825307 0.0030499280832655 0.0038684285923842 254.76257964441027 -52.958038013725336 0.2432880732402463 5935916902193313792 1572.1644639332874 35239.08  0.7284826892095795 0.08541799466956496 0.3166221821343018 0.4020401768038668 0.8893996689513418
5935958855437413248 254.4840664049044 -53.00615871675584 -4.510866661418826 -5.400938823842493 -25.138342 14.4515 3204.6055 14.939855 636.65186 13.788889 1305.0051 0.5623651356533137 0.023546994 5580.65 0.94685626             12.983 0.024 12.601 0.027 12.537 0.029 0.0027760724415272 0.0032700741450229 0.0038698727382797 254.4840664049044 -53.00615871675584 0.3389483966837152 5935958855437413248 1778.2041179318037 42468.266 1.1979985623043687 0.21193461821651677 0.10843018990892167 0.5924988005577461 0.7009289904666678 0.7153770836548503
5935915489100606336 254.93098503940303 -52.94422365534247 -4.7653356756991 -5.617903847655967  17.36756 1467.7452 17.984312 146.16403 16.600203 253.46336 0.7566064969036309 0.09568984 4314.7856 1.0246946             15.668 0.086 15.117 0.11 14.895 0.127 0.0028528916741585 0.0079349391300832 0.0057125278126684 254.93098503940303 -52.94422365534247 0.2489680455558823 5935915489100606336 1321.691003305474 10450.43  6.0060943088425915 2.4806833240252355 5.830420912843404 8.311104236868639 0.0063485630923519575
5935958717998141056 254.473956032433 -53.029475656437874 -4.665411259209977 -5.547554351050022  16.272434 2715.8777 16.784588 400.30402 15.599502 777.9225 0.6128683758192741 0.051056407 5279.793 1.0380286             14.756 0.04 14.331 0.047 14.416 0.078 0.0027841710323415 0.0038912088591339 0.0040288545085496 254.473956032433 -53.029475656437874 0.3621479604764197 5935958717998141056 1631.6717250473455 19586.182  0.2247191626939695 0.6843247471425037 3.539224019284696 4.2235487664272 0.3487257129715799
5935881339867833984 253.9324234000528 -53.01711629223672 -4.159849755401531 -5.466070123798538  17.119549 1531.8352 17.611418 188.68312 16.485313 354.74164 0.5189903485780721 0.07993564 4843.637 1.0367512             15.705 0.092 15.574 0.171 15.278 0.178 0.0028450237939679 0.0063950628964158 0.0048632540352405 253.9324234000528 -53.01711629223672 0.5895926180331599 5935881339867833984 1926.8181050761275 12510.064  1.9825952302988392 8.738554063153908 1.5964888244075996 10.335042887561507 0.015139106819461462
5936055234508017792 253.2000095665529 -52.99108719643295 -4.742378530962565 -5.098187799729864  16.215937 2692.4177 16.739744 416.833 15.5356245 652.5975 0.5608139775260528 0.04803492 4806.7324 0.9424646             14.673 0.045 14.283 0.082 14.078 0.079 0.0027846733355517 0.0038170212939694 0.0041293673111018 253.2000095665529 -52.99108719643295 0.9880145552161488 5936055234508017792 1783.1224614110918 20818.188  0.24179535337492458 1.9690260642830015 2.327214233009215 4.296240297292217 0.3380612304370651
5935958752357878272 254.48477677770003 -53.02499272848143 -4.606095904162014 -5.076431360960053  17.385061 1490.2957 17.962524 97.01512 16.610199 174.60568 0.6939764247245306 0.096553266 4341.0493 1.0374898             14.723  15.08 0.119 14.943 0.148 0.0028500098647916 0.0115339825538279 0.0072766724837543 254.48477677770003 -53.02499272848143 0.3550410770256436 5935958752357878272 1440.971140189587 10356.978  2.8564608517036087 0.1469616636675825 2.8576687762666126 3.004630439934195 0.20976500714984606
5935902608540851200 255.09147863401677 -53.01131306793469 -4.687413313365228 -5.222166233846803  16.669561 2050.2454 17.208765 201.37288 15.971827 454.82758 0.5787615033413369 0.061685365 5024.2505 1.0035965             14.998 0.04 14.663 0.083 14.822 0.119 0.0028057490035469 0.0060708450034655 0.0044701403538171 255.09147863401677 -53.01131306793469 0.3540732122107756 5935902608540851200 1727.8274284428844 16211.301  0.01935466338724845 0.9838467326277632 0.3429244404648712 1.3267711730926344 0.853502430633758
5936066087866982272 253.48618843590472 -52.99873921685531 -4.717809445302262 -5.684921976937074  17.446556 1268.383 17.940716 129.55507 16.719055 218.3594 0.5208218372639066 0.08596086 4936.146 0.9922969             15.906 0.077 15.46 0.133 14.968 0.132 0.0028852254367069 0.0088327697985479 0.0062455532502592 253.48618843590472 -52.99873921685531 0.8260582819608365 5936066087866982272 1920.0423800457656 11633.202  1.8627857571635011 1.4868348832220106 8.542257780030535 10.029092663252547 0.018173659604438522
5935879037765184384 254.15344944692947 -53.02924357646163 -4.253821187127743 -5.709138985692338  17.302298 1567.3092 17.881096 194.86635 16.601913 290.33774 0.6329796687097515 0.083550185 4775.994 0.99020237             15.657 0.074 15.111 0.121 15.036 0.149 0.0028410696438772 0.0062312802547918 0.0053167712692381 254.15344944692947 -53.02924357646163 0.4876318977004474 5935879037765184384 1579.8295734180097 11968.8545  0.6474343187294747 5.0754417871888595 9.649172040536898 14.724613827725758 0.003988624806073445
5935926282402725888 255.18018203251629 -52.981880635339245 -4.284418843857982 -5.574955632540359  15.35662 4204.9097 15.828059 922.9462 14.713613 1125.8375 0.5039006551673585 0.0296718 6479.252 0.98037475             13.904 0.048 13.564 0.047 13.466 0.057 0.0027673923010885 0.0030280225183017 0.0039004816766598 255.18018203251629 -52.981880635339245 0.3638898293877201 5935926282402725888 1984.5181579846803 33702.035  3.1541363055289042 4.096163562531212 4.364009386289517 8.460172948820729 0.020462109563351597
5936063618285049728 253.64526874194743 -53.024442358939375 -4.722980214935474 -5.711134999729467  17.624773 1180.3876 18.248877 134.51932 16.867414 285.1693 0.6077587586633251 0.09902806 4471.3535 1.0472002             15.916 0.082 15.243 0.103 15.023 0.137 0.0029047970558901 0.0085398937154626 0.0053646580574691 253.64526874194743 -53.024442358939375 0.7467011208656897 5936063618285049728 1645.3896973847832 10098.147  0.14943531105180266 1.582698813355762 9.743413392571773 11.326112205927535 0.021708656280940274
5935957859004959488 254.56969162068137 -53.032977097629065 -4.467808670955408 -5.3626599735854406  16.07497 2863.1995 16.575438 481.55798 15.404262 694.5426 0.5667692749299127 0.04792709 5434.799 0.9689176             14.548 0.063 14.174 0.066 14.059 0.076 0.0027812919569588 0.0035872573972821 0.0040899197433882 254.56969162068137 -53.032977097629065 0.3405709817088911 5935957859004959488 1764.3863988986716 20865.027  0.13857052034966652 0.4244648586407258 0.2299530590783799 0.6544179177191057 0.9393855832695944
5935914050335150080 254.98530696821723 -53.02871930374223 -4.5224748292415615 -5.242532760023527  15.385371 3983.787 15.832179 712.7758 14.769241 1042.5001 0.4845383784722408 0.034748778 5546.3843 0.9740627             13.978 0.026 13.633 0.035 13.676 0.051 0.0027687662872962 0.0031788899120313 0.0039202542964984 254.98530696821723 -53.02871930374223 0.3395390455602189 5935914050335150080 2063.820007721617 28777.992  5.206070849140913 0.058766614835019784 0.1859263820949687 0.24469299692998847 0.24409139679766526
5935918895058438528 254.82253893952915 -52.90839875427295 -4.375683034943744 -5.205046537218938  15.932861 3014.0518 16.413134 350.01425 15.294736 658.1671 0.6149737152712222 0.045996625 5749.988 0.940822             14.606 0.024 14.17 0.044 14.008 0.057 0.0027787679489653 0.0041722069409148 0.004123715062717 254.82253893952915 -52.90839875427295 0.1960930777702588 5935918895058438528 1626.0857580863749 21740.725  0.25975960806610987 1.7980857107855528 0.5117797885352804 2.309865499320833 0.6322132213961824
5935918276583110656 254.84047270339303 -52.94481750324279 -4.298712429134342 -5.527297331400709  17.047438 930.4145 17.803274 166.96967 16.188824 329.14594 0.569521206094046 0.08223321 4725.4663 0.9734149             14.956 0.045 14.335 0.062 14.131 0.068 0.0029922456707636 0.0070759308625419 0.0050164527197062 254.84047270339303 -52.94481750324279 0.2338207402128429 5935918276583110656 1755.8608692700166 12160.536  0.1010508349870052 3.6746313329655207 2.984971691981491 6.659603024947012 0.14909023283740622
5936070966908147584 253.5985402185268 -52.91478618939427 -4.672741076723659 -5.45454095671401  17.56022 860.9478 17.869616 26.143175 16.742249 31.707106 0.4931948151240479 0.09217185 5389.504 0.99955636             15.768 0.072 15.365 0.121 15.205 0.153 0.0030302058871837 0.0416240095441412 0.0344506126948066 253.5985402185268 -52.91478618939427 0.7362577803048566 5936070966908147584 2027.596335838366 10849.3  4.205330059673315 0.7780854995663592 1.3832483223228778 2.161333821889237 0.17338791754189625
5935917898625766784 254.6857513797064 -52.93929392058271 -4.582963884131161 -5.269936892785348  17.239513 956.8292 17.723354 69.04497 16.32647 51.750362 0.4745653751012497 0.11512413 4309.478 1.1153786             15.129 0.056 14.756 0.083 14.528 0.088 0.0029798298400047 0.0159706773781834 0.0213179538257625 254.6857513797064 -52.93929392058271 0.2303162988195891 5935917898625766784 2107.19123742782 8686.276  6.544651437898261 0.0442044310589937 0.04992167573616589 0.09412610679515959 0.15625361291393727
5935918237877445888 254.8228901834672 -52.93984172069122 -4.451655566771458 -5.385162281966022  17.784914 1016.6202 18.492903 70.99104 16.99046 225.08948 0.5893065762698694 0.120620005 4209.402 1.0475883             15.991 0.098 15.291 0.122 15.191 0.156 0.002955060690362 0.0155464187634155 0.0061278554444919 254.8228901834672 -52.93984172069122 0.2272184474158048 5935918237877445888 1696.9096227123316 8290.499  0.003368166506394472 0.5965872533494235 0.42267162618540244 1.019258879534826 0.9063458004784863
5935973011650748672 254.15007621821516 -52.981039214839306 -4.597815037583535 -5.270048039410608  17.264254 1640.3992 17.883085 177.6289 16.519293 352.21442 0.6565082446485555 0.076546855 4640.8687 1.017734             15.468 0.078 15.038 0.111 14.739 0.115 0.0028337017314131 0.0067190992751079 0.0048771047075195 254.15007621821516 -52.981039214839306 0.4598610616483899 5935973011650748672 1523.210116782804 13063.894  1.3588203564034493 0.1032891853848633 0.049545840508535964 0.15283502589339926 0.8245748766261904
5935879621880840064 254.01215752433004 -53.02673942361353 -4.590990422248639 -5.274729310698204  16.020609 3077.5222 16.496141 377.45947 15.380824 737.6845 0.5335875709084434 0.040591173 5473.096 0.94539016             14.64 0.04 14.237 0.049 14.111 0.057 0.0027778146300215 0.0040073563717937 0.0040558563200572 254.01215752433004 -53.02673942361353 0.5541407221646628 5935879621880840064 1874.106621894284 24635.896  1.1490029120787664 0.07307003038545429 0.03500588990351944 0.10807592028897373 0.8686144988966864
5935916833474069632 254.79613214572976 -52.97907314538132 -4.439616524538264 -5.206828672861949  15.902537 3128.8447 16.365952 488.36316 15.26376 675.2703 0.5738339004876363 0.04369314 5531.7944 0.9398575             14.485 0.045 14.068  13.91  0.0027770855968386 0.0035675948045499 0.0041071793008466 254.79613214572976 -52.97907314538132 0.2647086364206156 5935916833474069632 1742.6645570263686 22886.889  0.054631851803717275 0.7438789416337932 0.49263114210981596 1.2365100837436092 0.8628766317420893
