source_id ra dec pmra pmdec radial_velocity phot_g_mean_mag phot_g_mean_flux_over_error phot_bp_mean_mag phot_bp_mean_flux_over_error phot_rp_mean_mag phot_rp_mean_flux_over_error parallax parallax_error teff_gspphot ruwe number_of_neighbours number_of_mates g_mean_psf_mag g_mean_psf_mag_error r_mean_psf_mag r_mean_psf_mag_error i_mean_psf_mag i_mean_psf_mag_error z_mean_psf_mag z_mean_psf_mag_error y_mean_psf_mag y_mean_psf_mag_error j_m j_msigcom h_m h_msigcom ks_m ks_msigcom phot_g_mean_mag_error phot_bp_mean_mag_error phot_rp_mean_mag_error coord.ra coord.dec rCenter id distance distance_error PRV PPa PPMra PPMdec PPM membership
5343853147825993600 177.7808973744181 -55.84150199250104 -6.175246599249042 1.8984047554667052  19.587345 389.02313 20.221397 25.502167 18.85824 45.039257 0.4023099294787429 0.29219994  1.0222046                   0.0039218717294676 0.0426656038888496 0.0244009064858647 177.7808973744181 -55.84150199250104 0.1806215360529442 5343853147825993600 2485.645833538487 3422.3145  0.14818824293811134 11.554199551974271 0.07471599362217424 11.628915545596445 0.01908808412668032
5343854006819518464 177.74374818416928 -55.76059877226564 -6.8642824804477325 1.8857886587914905  18.78086 670.20905 19.61797 41.728584 17.888304 107.80422 0.4236717646953248 0.14944938 3835.4749 0.977779                   0.0031962755773315 0.0261681795658186 0.0107571473814574 177.74374818416928 -55.76059877226564 0.0992173864979922 5343854006819518464 2360.317782137618 6691.229  0.0009966197389195445 11.005356136830429 0.020209060898049056 11.025565197728477 0.02626711244610003
5343661184283505792 178.14657290374956 -55.94215082869245 -6.743772570834822 1.758252429653459  20.119982 247.17688 20.771507 16.822407 19.229631 22.430084 0.3758626868947164 0.47772545  1.019013                   0.0051851965843687 0.0646013569305448 0.0485526743258761 178.14657290374956 -55.94215082869245 0.3851733865121148 5343661184283505792 2660.546084693189 2093.2527  0.9335898737160593 4.591276952758969 1.4018049630229132 5.993081915781882 0.13981440005040677
5343856583804753024 177.36117238490615 -55.98709408520397 -6.85600502517363 2.01970382981608  19.236967 440.93137 20.169868 23.078827 18.348034 66.15909 0.3807626892157877 0.23027337  1.0046557                   0.0036952747984785 0.0471273560866214 0.0168405568428917 177.36117238490615 -55.98709408520397 0.3504280636395173 5343856583804753024 2626.3077458024645 4342.6646  0.726645650590115 10.476519752800092 2.3550726747423703 12.831592427542462 0.008847008131637654
5343819582658385536 177.60605551464204 -56.11579174568986 -6.729090448216825 1.7199440914796646  18.569426 515.6214 18.96229 30.381191 17.50124 40.142445 0.5316717017892412 0.14083874 4172.173 0.97989225                   0.0034678088747553 0.0358458731685459 0.0273098637761268 177.60605551464204 -56.11579174568986 0.4399596792330974 5343819582658385536 1880.859930356812 7100.319  2.640701726975293 3.9984330854920693 2.5037148950700017 6.502147980562071 0.05762642644952894
5343789822835397504 178.29140433293992 -55.513808032256144 -6.652909185556356 2.08059157451202  19.00383 559.3181 19.553663 48.675552 18.379757 76.867226 0.5848796301691318 0.18390359  0.92823476                   0.0033704543777682 0.0224794071034147 0.0146217113469041 178.29140433293992 -55.513808032256144 0.3971650377164762 5343789822835397504 1709.7535089584608 5437.632  4.812263923023669 1.5800717881015056 4.699108343503838 6.279180131605344 0.025555305898101007
5343944342870076928 177.87109089725266 -55.80267065382687 -6.654329895108732 2.094914304215558  20.49675 181.39444 21.229757 9.747016 19.432053 22.348907 0.625463844144792 0.5659892  1.0285825                   0.0065892325447246 0.1114265905656533 0.0487279629938982 177.87109089725266 -55.80267065382687 0.1771294145577196 5343944342870076928 1598.813439595886 1766.8182  6.565848107866677 1.6150796669859682 5.3669698368634755 6.982049503849444 0.008886957213406418
5343954582071727232 177.98335363550905 -55.5230063480083 -6.560850734208995 1.6712997535893288  20.483541 118.98645 20.624022 6.5173683 19.434341 12.193782 0.7427651915230964 0.8475368  0.98463786                   0.0095317936522784 0.1666145634808041 0.0891203266153997 177.98335363550905 -55.5230063480083 0.2428912426625688 5343954582071727232 1346.3204945689822 1179.8898  11.570466455190777 0.12934261941261488 4.360256882120972 4.489599501533587 0.0029396141173407167
5343852426271498624 177.55882377403773 -55.8295715979363 -6.70438696458945 1.9622959261616864  18.523565 750.6431 19.290087 54.89451 17.739048 97.21367 0.5406504513324469 0.1382061 4145.545 0.99497294                   0.003111894186863 0.0199744295838783 0.0117906889986173 177.55882377403773 -55.8295715979363 0.161451105721042 5343852426271498624 1849.6239067876008 7235.5713  2.9888703841339455 3.0933907772626292 0.8792631527083505 3.9726539299709795 0.13793551291595474
5343861192304756480 177.08337627032878 -55.8520774255397 -6.184787613920313 1.9740529109459364  18.752274 605.02496 19.222082 27.234404 18.081198 75.036736 0.3391733536681166 0.16803843 4608.0454 0.9725782                   0.003288180624199 0.0399638678131056 0.0149548364557594 177.08337627032878 -55.8520774255397 0.364019401170805 5343861192304756480 2948.344818910823 5951.0195  3.696811148520627 10.930581874843005 1.1234746441168706 12.054056518959875 0.003372346058951469
